State,FIPS,Adult obesity
AR,5099,0.344
AR,5099,0.329
AR,5101,0.363
AR,5101,0.36
AR,5103,0.398
AR,5103,0.378
AR,5105,0.338
AR,5105,0.331
AR,5107,0.38
AR,5107,0.4
AR,5109,0.336
AR,5109,0.351
AR,5111,0.357
AR,5111,0.357
AR,5113,0.331
AR,5113,0.325
AR,5115,0.352
AR,5115,0.348
AR,5117,0.328
AR,5117,0.345
AR,5119,0.331
AR,5119,0.329
AR,5121,0.342
AR,5121,0.352
AR,5125,0.315
AR,5125,0.315
AR,5127,0.294
AR,5127,0.311
AR,5129,0.302
AR,5129,0.312
AR,5131,0.298
AR,5131,0.31
AR,5133,0.379
AR,5133,0.387
AR,5135,0.303
AR,5135,0.302
AR,5123,0.386
AR,5123,0.395
AR,5137,0.342
AR,5137,0.348
AR,5139,0.309
AR,5139,0.363
AR,5141,0.332
AR,5141,0.344
AR,5143,0.286
AR,5143,0.292
AR,5145,0.334
AR,5145,0.339
AR,5147,0.356
AR,5147,0.367
AR,5149,0.325
AR,5149,0.343
AZ,4001,0.318
AZ,4001,0.319
AZ,4003,0.247
AZ,4003,0.236
AZ,4005,0.233
AZ,4005,0.24
AZ,4007,0.263
AZ,4007,0.271
AZ,4009,0.339
AZ,4009,0.35
AZ,4011,0.342
AZ,4011,0.354
AZ,4012,0.312
AZ,4012,0.32
AZ,4013,0.228
AZ,4013,0.226
AZ,4015,0.271
AZ,4015,0.266
AZ,4017,0.317
AZ,4017,0.312
AZ,4019,0.241
AZ,4019,0.221
AZ,4021,0.314
AZ,4021,0.302
AZ,4023,0.201
AZ,4023,0.205
AZ,4025,0.234
AZ,4025,0.259
AZ,4027,0.311
AZ,4027,0.312
CA,6001,0.207
CA,6001,0.205
CA,6005,0.23
CA,6005,0.248
CA,6007,0.243
CA,6007,0.244
CA,6009,0.258
CA,6009,0.243
CA,6011,0.226
CA,6011,0.223
CA,6013,0.237
CA,6013,0.224
CA,6015,0.255
CA,6015,0.255
CA,6017,0.203
CA,6017,0.21
CA,6019,0.294
CA,6019,0.285
CA,6021,0.268
CA,6021,0.259
CA,6023,0.265
CA,6023,0.257
CA,6025,0.235
CA,6025,0.221
CA,6027,0.238
CA,6027,0.228
CA,6029,0.278
CA,6029,0.28
CA,6031,0.242
CA,6031,0.237
CA,6033,0.267
CA,6033,0.265
CA,6035,0.256
CA,6035,0.241
CA,6037,0.213
CA,6037,0.213
CA,6039,0.297
CA,6039,0.276
CA,6041,0.154
CA,6041,0.158
CA,6043,0.238
CA,6043,0.241
CA,6045,0.248
CA,6045,0.242
CA,6047,0.313
CA,6047,0.311
CA,6049,0.251
CA,6049,0.241
CA,6051,0.208
CA,6051,0.216
CA,6053,0.228
CA,6053,0.22
CA,6055,0.236
CA,6055,0.241
CA,6057,0.185
CA,6057,0.178
CA,6059,0.204
CA,6059,0.207
CA,6061,0.228
CA,6061,0.225
CA,6063,0.23
CA,6063,0.248
CA,6065,0.27
CA,6065,0.259
CA,6067,0.277
CA,6067,0.269
CA,6069,0.243
CA,6069,0.233
CA,6071,0.282
CA,6071,0.277
CA,6073,0.231
CA,6073,0.226
CA,6075,0.16
CA,6075,0.152
CA,6077,0.31
CA,6077,0.304
CA,6079,0.2
CA,6079,0.204
CA,6081,0.2
CA,6081,0.208
CA,6083,0.192
CA,6083,0.194
CA,6085,0.21
CA,6085,0.204
CA,6087,0.201
CA,6087,0.215
CA,6089,0.28
CA,6089,0.273
CA,6091,0.234
CA,6091,0.233
CA,6093,0.233
CA,6093,0.217
CA,6095,0.271
CA,6095,0.265
CA,6097,0.225
CA,6097,0.224
CA,6099,0.308
CA,6099,0.321
CA,6101,0.259
CA,6101,0.276
CA,6103,0.26
CA,6103,0.271
CA,6105,0.251
CA,6105,0.25
CA,6107,0.295
CA,6107,0.283
CA,6109,0.227
CA,6109,0.227
CA,6111,0.219
CA,6111,0.213
CA,6113,0.229
CA,6113,0.211
CA,6115,0.305
CA,6115,0.276
CO,8001,0.25
CO,8001,0.249
CO,8003,0.205
CO,8003,0.213
CO,8005,0.207
CO,8005,0.212
CO,8007,0.17
CO,8007,0.166
CO,8009,0.218
CO,8009,0.206
CO,8011,0.24
CO,8011,0.243
CO,8013,0.149
CO,8013,0.15
CO,8014,0.202
CO,8014,0.202
CO,8015,0.162
CO,8015,0.18
CO,8017,0.233
CO,8017,0.253
CO,8019,0.166
CO,8019,0.173
CO,8021,0.177
CO,8021,0.192
CO,8023,0.205
CO,8023,0.215
CO,8025,0.243
CO,8025,0.241
CO,8027,0.212
CO,8027,0.205
CO,8029,0.215
CO,8029,0.221
CO,8031,0.182
CO,8031,0.17
CO,8033,0.208
CO,8033,0.2
CO,8035,0.162
CO,8035,0.163
CO,8037,0.132
CO,8037,0.12
CO,8041,0.214
CO,8041,0.218
CO,8039,0.202
CO,8039,0.201
CO,8043,0.224
CO,8043,0.221
CO,8045,0.174
CO,8045,0.198
CO,8047,0.197
CO,8047,0.193
CO,8049,0.18
CO,8049,0.187
CO,8051,0.159
CO,8051,0.16
CO,8055,0.209
CO,8055,0.197
CO,8059,0.196
CO,8059,0.198
CO,8061,0.239
CO,8063,0.272
CO,8063,0.261
CO,8067,0.167
CO,8067,0.172
CO,8065,0.192
CO,8065,0.193
CO,8069,0.193
CO,8069,0.199
CO,8071,0.243
CO,8071,0.231
CO,8073,0.231
CO,8073,0.243
CO,8075,0.237
CO,8075,0.239
CO,8077,0.223
CO,8077,0.232
CO,8081,0.241
CO,8081,0.272
CO,8083,0.218
CO,8083,0.208
CO,8085,0.201
CO,8085,0.219
CO,8087,0.288
CO,8087,0.298
CO,8089,0.255
CO,8089,0.274
CO,8091,0.175
CO,8091,0.185
CO,8093,0.184
CO,8093,0.203
CO,8095,0.226
CO,8095,0.22
CO,8097,0.142
CO,8097,0.133
CO,8099,0.255
CO,8099,0.263
CO,8101,0.266
CO,8101,0.265
CO,8103,0.211
CO,8103,0.222
CO,8105,0.227
CO,8105,0.235
CO,8107,0.134
CO,8107,0.147
CO,8109,0.23
CO,8109,0.222
CO,8113,0.169
CO,8113,0.164
CO,8115,0.241
CO,8115,0.242
CO,8117,0.145
CO,8117,0.132
CO,8119,0.178
CO,8119,0.167
CO,8121,0.232
CO,8121,0.24
CO,8123,0.256
CO,8123,0.253
CO,8125,0.251
CO,8125,0.242
CT,9001,0.186
CT,9001,0.196
CT,9003,0.246
CT,9003,0.261
CT,9005,0.219
CT,9005,0.235
CT,9007,0.239
CT,9007,0.235
CT,9009,0.274
CT,9009,0.269
CT,9011,0.25
CT,9011,0.263
CT,9013,0.234
CT,9013,0.24
CT,9015,0.3
CT,9015,0.303
DC,11001,0.215
DE,10001,0.338
DE,10001,0.327
DE,10003,0.267
DE,10003,0.259
DE,10005,0.299
DE,10005,0.307
FL,12001,0.252
FL,12001,0.246
FL,12003,0.367
FL,12003,0.371
FL,12005,0.285
FL,12005,0.287
FL,12007,0.357
FL,12007,0.359
FL,12009,0.284
FL,12009,0.289
FL,12011,0.241
FL,12011,0.247
FL,12013,0.361
FL,12013,0.37
FL,12015,0.257
FL,12015,0.248
FL,12017,0.293
FL,12017,0.27
FL,12019,0.282
FL,12019,0.288
FL,12021,0.209
FL,12021,0.199
FL,12023,0.349
FL,12023,0.358
FL,12027,0.344
FL,12027,0.347
FL,12029,0.357
FL,12029,0.357
FL,12031,0.284
FL,12031,0.294
FL,12033,0.3
FL,12033,0.296
FL,12035,0.284
FL,12035,0.27
FL,12037,0.261
FL,12037,0.253
FL,12039,0.371
FL,12039,0.384
FL,12041,0.321
FL,12041,0.313
FL,12043,0.355
FL,12043,0.356
FL,12045,0.311
FL,12045,0.316
FL,12047,0.373
FL,12047,0.386
FL,12049,0.369
FL,12049,0.368
FL,12051,0.344
FL,12051,0.343
FL,12053,0.287
FL,12053,0.294
FL,12055,0.302
FL,12055,0.303
FL,12057,0.268
FL,12057,0.261
FL,12059,0.306
FL,12059,0.315
FL,12061,0.218
FL,12061,0.229
FL,12063,0.339
FL,12063,0.34
FL,12065,0.351
FL,12065,0.356
FL,12067,0.347
FL,12067,0.362
FL,12069,0.291
FL,12069,0.305
FL,12071,0.259
FL,12071,0.259
FL,12073,0.282
FL,12073,0.267
FL,12075,0.337
FL,12075,0.32
FL,12077,0.357
FL,12077,0.369
FL,12079,0.363
FL,12079,0.357
FL,12081,0.251
FL,12081,0.25
FL,12083,0.316
FL,12083,0.31
FL,12085,0.201
FL,12085,0.209
FL,12086,0.218
FL,12086,0.21
FL,12087,0.189
FL,12087,0.197
FL,12089,0.278
FL,12089,0.268
FL,12091,0.285
FL,12091,0.288
FL,12093,0.317
FL,12093,0.337
FL,12095,0.257
FL,12095,0.252
FL,12097,0.29
FL,12097,0.292
FL,12099,0.224
FL,12099,0.224
